Family Name,Algorithm Name,Year,Time Complexity Class,average_monthly_reads,years_since_problem_introduced,years_since_last_improvement,Number of Authors
Optimal Binary Search Trees,Melhorn's Approximation algorithm,1975,3,0.0,83,27,1
Optimal Binary Search Trees,Karpinski,1996,2.6,0.0,83,27,3
Optimal Binary Search Trees,Klawe; Mumey,1993,3,0.0,83,27,2
Optimal Binary Search Trees,Larmore,1987,4.6,0.0,83,27,1
Nearest Neighbor Search,Hierarchical Navigable Small World (HNSW),2018,4,8855.80412371134,83,83,2
Nearest Neighbor Search,Locality-sensitive hashing,2010,3,7193.041237113402,83,83,3
Nearest Neighbor Search,Projected radial search,2013,3,0.0,83,83,2
The Subset-Sum Problem,Pisinger,2003,3,32317.474226804123,83,67,1
The Subset-Sum Problem,Faaland,1973,3,0.0,83,67,1
The Subset-Sum Problem,Pferschy,1999,3,11461.01030927835,83,67,1
The Subset-Sum Problem,Klinz,1999,4.5,0.0,83,67,2
The Subset-Sum Problem,Eppstein,1997,4,0.0,83,67,1
The Subset-Sum Problem,Serang,2014,4,0.0,83,67,1
The Subset-Sum Problem,Serang,2015,4,0.0,83,67,1
The Subset-Sum Problem,Lokshtanov,2010,6,0.0,83,67,2
Stable Matching Problem,"Valentin Polishchuk, and Jukka Suomela",2008,1,0.0,61,15,4
Motif Search,"Lawrence, Reilly",1990,3,0.0,35,20,2
Motif Search,Lawrence Gibbs Sampling,1993,3,39.855670103092784,35,20,6
Motif Search,MotifSampler,2001,3,39.855670103092784,35,20,7
Texture Synthesis,tree-structured vector quantization Wei-Levoy,2000,5.01,860.3814432989691,25,22,2
Texture Synthesis,"Spatial GAN-Based; Urs Bergmann, Nikolay Jetchev, Roland Vollgraf",2017,3,860.3814432989691,25,22,3
n-Queens Problem,Grigoryan,2018,3,0.0,175,5,1
Cycle Detection,Sedgewick; Szymanski; and Yao,1982,3,8665.453608247422,56,56,3
Cycle Detection,Nivasch,2004,3,8665.453608247422,56,56,1
Sorting,Intro Sort,1997,4,3044.907216494845,83,55,1
Sorting,Heap Sort,1964,4,23630.907216494845,83,55,1
Sorting,Counting Sort,1954,3,9069.40206185567,83,55,1
kth Order Statistic,Hoare's Selection Algorithm (QuickSelect),1961,5,62560.50515463918,83,83,1
Longest Common Subsequence,Wagner and Fischer,1974,5,1540.9381443298969,49,46,2
Maximum Flow,Ford & Fulkerson,1955,7,8510.536082474227,72,26,2
Maximum Flow,Dinitz,1970,7,1797.9896907216496,72,26,1
Maximum Flow,Edmonds & Karp,1972,7,4002.958762886598,72,26,2
Maximum Flow,Galil & Naamad,1980,6.02,0.0,72,26,2
Matrix Product,Strassen's algorithm,1969,4.4035,8194.577319587628,83,9,1
Matrix Product,Pan's algorithm,1978,4.3975,1242.9484536082475,83,9,1
Matrix Product,Romani's algorithm,1981,4.258325,1242.9484536082475,83,9,1
Matrix Product,Coppersmith–Winograd algorithm,1981,4.247774,1242.9484536082475,83,9,2
Matrix Product,Strassen's algorithm,1986,4.23925,8194.577319587628,83,9,1
Matrix Product,Coppersmith–Winograd algorithm,1990,4.18775,1242.9484536082475,83,9,2
Matrix Product,Vassilevska Williams,2014,4.1864365,6845.876288659794,83,9,1
Matrix Product,François Le Gall,2014,4.18643195,1242.9484536082475,83,9,1
Linear System,Aasen's method,1971,4.5,0.0,83,14,1
Linear System,Levinson–Durbin recursion,1947,3,1220.1237113402062,83,14,1
Linear System,Bareiss Algorithm,1969,3,593.2886597938144,83,14,1
Linear System,Bjorck-Pereyra,1970,3,7605.845360824742,83,14,2
Linear Programming,Khachiyan Ellipsoid algorithm,1979,7,1330.5773195876288,83,8,1
