Domains,Optimal,Non-Optimal
Signal Processing,100.0,0.0
Cryptography,94.44444444444444,5.555555555555555
Robotics,82.75862068965517,17.24137931034483
Operating Systems,65.78947368421053,34.21052631578947
Statistics,55.172413793103445,44.827586206896555
Numerical Analysis,36.97478991596639,63.02521008403361
Image Processing,35.24590163934426,64.75409836065575
Databases,33.33333333333333,66.66666666666666
Combinatorics,30.996309963099634,69.00369003690037
Bioinformatics,4.3478260869565215,95.65217391304348
